-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2021 ,,,,,,,,,,,,,,
Location: Latitude  30.6509   Longitude 70.0185 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1091.94 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,8.52,11.6,16.02,24.82,28.96,32.71,30.12,28.56,27.81,20.98,15.07,10.9,21.38
T2M,1982,8.44,8.18,12.49,20.42,23.71,30.69,32.25,28.61,26.82,21.97,15.07,8.94,
T2M,1983,7.77,10.08,14.66,19.33,27.91,32.3,30.44,29.27,27.27,20.66,15.53,9.44,
T2M,1984,7.05,8.56,19.83,23.72,30.73,33.43,30.13,28.01,24.12,19.26,15.28,9.83,
T2M,1985,8.7,13.7,19.51,23.24,28.8,32.62,30.26,29.79,28.15,20.87,15.94,10.62,
T2M,1986,7.83,10.43,14.9,23.26,28.32,32.48,31.38,29.4,27.38,22.24,16.08,9.4,
T2M,1987,10.19,12.44,16.58,23.48,25.77,31.98,32.74,30.41,28.95,22.23,17.2,12.29,
T2M,1988,10.77,12.76,16.28,25.3,31.2,33.23,31.68,30.38,28.4,22.14,16.22,11.84,
T2M,1989,7.97,10.16,15.64,20.88,27.8,31.76,30.01,29.76,26.95,22.17,15.94,10.33,
T2M,1990,10.46,10.8,15.82,22.11,30.33,32.31,32.5,29.31,28.48,21.37,16.36,10.3,
T2M,1991,9,10.01,17.19,21.98,28.3,32.79,34.07,30.93,27.38,20.39,15.12,11.97,
T2M,1992,9.22,10.66,14.76,19.89,26.75,32.13,29.6,27.55,24.4,20.42,15.76,12.51,
T2M,1993,7.73,14.15,15.01,23.74,29.94,30.98,29.3,30.56,27.01,21.18,17.25,12.5,
T2M,1994,9.79,10.36,18.38,20.7,29.08,33.05,30.31,30.34,24.43,20.78,17.39,10.93,
T2M,1995,8.57,11.74,14.73,20.65,28.17,32.54,31.52,30.1,27.2,21.94,15.73,10.22,
T2M,1996,8.58,12.27,17.48,23.45,26.97,31.1,31.26,30.57,28.4,21.19,14.76,11.15,
T2M,1997,8.95,11.77,15.5,20.97,25.76,30.82,32.63,30.73,28.16,19.04,13.76,8.61,
T2M,1998,8.49,11.2,16,25.06,29.19,29.74,31.76,31.58,27.71,22.31,16.41,14.87,
T2M,1999,9.23,11.52,17.16,25.19,29.27,32.62,32.28,30.33,28.8,22.82,16.86,12.76,
T2M,2000,9.96,9.72,16.13,26.19,32.52,32.3,30.94,31.4,28.38,23.49,15.73,12.49,
T2M,2001,8.86,12.36,17.64,23.66,31.85,31.91,31.05,30.94,26.47,23.07,16.81,12.85,
T2M,2002,10.02,11.19,18.14,24.71,31.17,32.54,33.03,31.16,27.04,22.24,16.01,11.77,
T2M,2003,10.39,11.99,17.2,24.55,27.7,33.16,30.16,29.89,27.38,21.65,14.85,10.97,
T2M,2004,9.65,13.7,21.22,25.76,29.88,31.78,32.77,29.98,27.55,19.99,16.9,11.89,
T2M,2005,7.62,9.32,16.43,22.1,26.36,32.43,31.52,30.89,27.44,22.26,15.42,11.01,
T2M,2006,9.08,16.38,16.53,24.08,32.05,31.09,32.1,29.3,27.05,23.45,15.25,9.53,
T2M,2007,9.28,11.84,15.61,26.23,29.54,31.56,29.99,30.76,27.56,21.27,17.18,9.94,
T2M,2008,6.44,10.62,19.97,22.81,29.74,32.2,30.88,29.85,26.73,22.93,16.46,12.13,
T2M,2009,9.57,12.88,18.22,22.45,30.01,30.84,31.36,32.01,28.21,21.41,15.23,10.83,
T2M,2010,10.86,12.43,20.81,26.25,29.86,31.53,30.51,27.55,25.37,22.86,15.84,10.57,
T2M,2011,9.21,11.04,18.23,22.71,31.08,33.04,31.29,29.7,26,22.19,17.7,10.88,
T2M,2012,7.26,9.15,16.73,22.37,28.28,32.08,32.31,30.26,25.06,20.72,15.69,11.11,
T2M,2013,9.22,10.66,17.15,21.56,28.69,31.65,31.94,29.47,27.7,22.92,15.39,10.86,
T2M,2014,9.26,10.1,15.65,22.51,26.73,33.15,32.28,30.88,27.56,21.9,15.99,10.99,
T2M,2015,9.36,12.62,15.3,23.75,28.99,30.65,30.58,29.88,26.98,22.38,15.57,11.33,
T2M,2016,11.16,13.12,17.61,23.64,30.56,33.07,31.83,29.11,28.18,22.73,17.28,14.58,
T2M,2017,8.38,12.61,17.93,25.92,29.74,31.15,31.18,30.79,27.26,22.96,15.24,11.06,
T2M,2018,10.55,13.09,19.58,24.92,28.56,32.3,32.3,31.83,27.68,21.29,16.74,10.74,
T2M,2019,8.56,8.8,14.18,22.65,27.33,31.18,32.65,29.84,29.42,21.76,14.33,10.08,
T2M,2020,6.65,12.22,13.19,19.47,24.51,26.76,28.66,28.53,24.78,20.46,13.72,9.83,
T2M,2021,9.85,15.21,19.4,22.58,27.4,30.69,31.04,29.99,26.76,22.44,16.23,10.87,
T2M_MAX,1981,20.77,24.86,32.65,38.9,43.8,45.24,41.47,39.26,38.79,32.84,29.49,22.65,45.24
T2M_MAX,1982,21.73,19.08,27.16,31.65,35.52,42.54,41.94,40.73,38.59,34.73,30.43,19.8,42.54
T2M_MAX,1983,20.25,22.92,27.46,35.24,39.07,43.6,40.9,40.15,39.12,36.35,29.65,23.18,43.6
T2M_MAX,1984,19.08,23.08,35.17,36.54,43.79,44.4,39.52,37.74,35.07,32.98,27.22,25.04,44.4
T2M_MAX,1985,22.41,29.87,32.54,38.26,42.08,43.54,40.67,40.19,39.86,37.42,29.3,24.5,43.54
T2M_MAX,1986,20.66,23.83,27.35,37.96,41.32,45.65,43.32,40.09,39.22,36.27,29.98,25.94,45.65
T2M_MAX,1987,25.84,25.37,27.83,39.26,39.63,44.3,44.2,42.83,41.12,35.75,31.85,25.31,44.3
T2M_MAX,1988,23.46,26.38,30.49,38.49,43.94,43.98,42.97,39.65,41.76,34.92,30.69,25.16,43.98
T2M_MAX,1989,21.82,22.79,26.87,34.2,42.3,42.9,42.12,39.44,38.46,36.3,28.94,24.19,42.9
T2M_MAX,1990,23.43,23.15,32.49,35.7,43.26,42.71,42.12,39.82,38.89,36.33,29.07,23.96,43.26
T2M_MAX,1991,23.26,22.33,33.25,37.08,41.14,44.98,43.62,41.66,40.41,33.09,29.63,24.24,44.98
T2M_MAX,1992,22.26,25.05,27.58,34.95,40.05,43.35,42.23,37.87,36.52,33.8,30.43,24.84,43.35
T2M_MAX,1993,21.49,28.26,27.94,38.53,43.07,43.31,40.98,40.6,37.19,37.17,31.36,25.9,43.31
T2M_MAX,1994,23.15,22.67,31.51,38.36,41.65,44.21,40.58,41.61,36.91,33.71,29.25,25.72,44.21
T2M_MAX,1995,21.65,25.87,29.13,33.05,41.01,44.01,43.97,41.39,38.51,36.19,31.24,21.51,44.01
T2M_MAX,1996,23.13,24.96,32.94,38.04,40.44,42.62,42.07,40.01,39.3,35.19,32.58,24.72,42.62
T2M_MAX,1997,22.4,30.33,27.84,34.82,40.2,43.43,42.41,40.81,39.58,33.29,27.23,20.78,43.43
T2M_MAX,1998,20.76,25.45,32.76,38.03,42.97,40.26,40.76,41.88,38.2,36.62,29.33,29.61,42.97
T2M_MAX,1999,22.55,24.83,34.29,39.82,40.32,44.19,42.54,40.52,39.87,33.71,31.2,25.74,44.19
T2M_MAX,2000,25.71,26.25,31.27,39.12,44.24,42.85,43.17,42.33,40.48,35.67,29.97,24.61,44.24
