year,Y,X1,X2,X3,X4,X5,X6,X7
1982,38000,19.86,42.54,1.73,274.22,110.32,240.3333333,55.27666667
1983,36000,20.44,43.6,0.78,601.17,114.41,240.3333333,55.27666667
1984,37000,20.86,44.4,0.93,242.58,118.08,240.3333333,55.27666667
1985,35000,21.88,43.54,0.45,316.41,122,240.3333333,55.27666667
1986,35500,21.14,45.65,0.36,137.11,126.39,275.75,63.4225
1987,40000,22.06,44.3,0.51,121.29,130.95,293.8333333,67.58166667
1988,39000,22.54,43.98,0.46,142.38,135.62,308.0833333,70.85916667
1989,43000,20.83,42.9,0.58,137.11,140.27,333.9166667,76.80083333
1990,39000,21.73,43.26,0.63,174.02,144.97,370.8333333,85.29166667
1991,42000,21.66,44.98,0.28,195.12,149.73,408.3333333,93.91666667
1992,42000,20.33,43.35,1.03,84.38,153.72,433.3333333,99.66666667
1993,43000,21.64,43.31,0.73,326.95,157.7,443.75,102.0625
1994,44000,21.36,44.21,0.5,253.12,162.35,514.5833333,118.3541667
1995,46000,21.14,44.01,0.58,142.38,167.21,539.5833333,124.1041667
1996,46500,21.45,42.62,0.39,184.57,172.38,608.3333333,139.9166667
1997,42000,20.6,43.43,0.57,100.2,177.53,883.3333333,203.1666667
1998,51000,22.08,42.97,0.51,168.75,182.74,883.3333333,203.1666667
1999,47000,22.45,44.19,0.43,152.93,188.03,883.3333333,203.1666667
2000,46000,22.48,44.24,0.27,137.11,193.91,883.3333333,203.1666667
2001,46000,22.34,43.37,0.49,79.1,200,1058.333333,243.4166667
2002,44000,22.48,44.26,0.3,116.02,205.08,1058.333333,243.4166667
2003,47000,21.7,44.49,0.37,84.38,209.62,1025,235.75
2004,49715.2,22.61,42.76,0.42,84.38,214.36,1041.666667,239.5833333
2005,48886.7,21.13,44.21,0.46,100.2,219.03,1275,293.25
2006,49229,22.18,43.48,0.47,142.38,223.68,1600,368
2007,53209.2,21.77,45.27,0.63,116.02,228.52,1600,368
2008,51494.4,21.76,42.67,0.51,184.57,233.55,2008.333333,461.9166667
2009,48616.1,21.97,42.61,0.33,152.93,238.82,2516.666667,578.8333333
2010,52368.4,22.08,44.09,0.54,89.65,244.26,3141.666667,722.5833333
2011,56002.9,21.98,42.62,0.26,168.75,249.47,3791.666667,872.0833333
2012,55221.2,20.95,43.11,0.34,58.01,254,4316.666667,992.8333333
2013,56475.8,21.49,42.37,0.48,73.83,257.93,4266.666667,981.3333333
2014,57535.3,21.48,43.64,0.26,142.38,261.59,4516.666667,1038.833333
2015,55087,21.49,42.43,0.49,63.28,265,4433.333333,1019.666667
2016,54043.4,22.76,42.91,0.4,121.29,268.21,4516.666667,1038.833333
2017,62096,22.07,43.55,0.4,110.74,271.8,4516.666667,1038.833333
2018,60956,22.51,43.94,0.25,116.02,276.01,4516.666667,1038.833333
2019,63841,20.96,43.68,0.91,68.55,280.48,4750,1092.5
2020,69534,19.08,41.07,4.13,284.77,285.39,5000,1150
2021,70341,21.9,42.92,0.88,1466.02,290.67,5208.333333,1197.916667
